provider,api_title,doc_url,category,source_field,enum_value,value_order,service_tier,detail_parse_status
runninghub,全能视频S-图生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766680.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,resolution,480p,2,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,duration,6,1,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,duration,10,2,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,aspectRatio,16:9,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,aspectRatio,9:16,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,resolution,4k,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,duration,6,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,duration,8,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,aspectRatio,16:9,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,aspectRatio,9:16,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,resolution,4k,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,duration,6,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,duration,8,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,resolution,4k,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,size,720x1280,1,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,size,1280x720,2,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,duration,8,2,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,duration,12,3,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,aspectRatio,16:9,1,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,aspectRatio,9:16,2,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,aspectRatio,1:1,3,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,resolution,480p,2,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,duration,6,1,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,duration,10,2,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
