"field","title","url","allowed_values","value_count"
"duration","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","10; 5","2"
"duration","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","10; 5","2"
"duration","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","10; 5","2"
"duration","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","10; 15; 25","3"
"duration","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","10; 15; 5","3"
"duration","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","10; 5","2"
"duration","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","10; 15; 5","3"
"duration","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","10; 15; 5","3"
"duration","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","10; 5","2"
"mode","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","fun; normal; spicy","3"
"mode","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","fun; normal; spicy","3"
"mode","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","pro; std","2"
"output_format","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","jpeg; png","2"
"output_format","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","jpeg; png","2"
"output_format","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","jpeg; png","2"
"resolution","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","1080p; 480p; 720p","3"
"resolution","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","1080p; 480p; 720p","3"
"resolution","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","1080p; 480p; 720p","3"
"resolution","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","1080p; 480p; 720p","3"
"resolution","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","1080p; 720p","2"
"resolution","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","1080p; 480p; 720p","3"
"resolution","Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","1k; 2k","2"
"resolution","Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","1k; 2k","2"
"resolution","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","1k; 2k","2"
"resolution","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","1k; 2k","2"
"resolution","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","480p; 720p","2"
"resolution","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","480p; 720p","2"
"resolution","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","1080p; 768p","2"
"resolution","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","1080p; 768p","2"
"resolution","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","512p; 768p","2"
"resolution","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","landscape_16_9; landscape_4_3; portrait_16_9; portrait_4_3; square; square_hd","6"
"resolution","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","landscape_16_9; landscape_4_3; portrait_16_9; portrait_4_3; square; square_hd","6"
