"field","title","url","allowed_values","value_count"
"mode","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","1080p; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 720p","12"
"mode","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","10; 11; 12; 13; 14; 15; 3; 4; 5; 6; 7; 8; 9; kling-3.0/video; pro; std","16"
"model","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p; bytedance/v1-lite-image-to-video","14"
"model","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","1:1; 16:9; 200; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; 9:21; bytedance/v1-lite-text-to-video","17"
"model","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","1:1; 16:9; 200; 21:9; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; bytedance/v1-pro-text-to-video","17"
"model","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","1:1; 16:9; 200; 21:9; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; bytedance/seedance-1.5-pro","17"
"model","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","1080p; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 720p; bytedance/v1-pro-fast-image-to-video","13"
"model","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p; bytedance/v1-pro-image-to-video","14"
"model","Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","assistant; developer; high; low; object; system; text; tool; user","9"
"model","Claude Sonnet 4.5","https://docs.kie.ai/market/claude/claude-sonnet-4-5.md","assistant; developer; high; low; object; system; text; tool; user","9"
