"title","url","field","allowed_values","value_count"
"Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Generate AI Video","https://docs.kie.ai/runway-api/generate-ai-video.md","duration","1:1; 16:9; 200; 3:4; 4:3; 401; 404; 422; 451; 455; 500; 9:16","12"
"Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","duration","10; 15; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; value: '6","14"
"Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","duration","10; 15; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; value: '6","14"
"Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","duration","image; kling-2.6/motion-control; video","3"
"Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","duration","10; 11; 12; 13; 14; 15; 3; 4; 5; 6; 7; 8; 9; kling-3.0/video","14"
"Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","duration","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"Sora2 - Characters","https://docs.kie.ai/market/sora2/sora-2-characters.md","duration","200; 401; 402; 404; 422; 429; 455; 500","8"
"Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","duration","10; 15; 200; 25; 401; 402; 404; 422; 429; 455; 500; 501; 505","13"
"Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","duration","10; 15; 5","3"
"Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","duration","10; 5","2"
"Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","duration","10; 15; 5","3"
"Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","duration","10; 15; 5; wan/2-6-text-to-video","4"
"Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","duration","10; 5","2"
"Generate or Edit Image","https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md","mode","0; 1; 1:1; 16:9; 2; 21:9; 3; 3:4; 4; 4:3; 5; 6; 9:16","13"
"Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","mode","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; fun; normal; spicy","13"
"Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","mode","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; fun; normal; spicy","13"
"Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","mode","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","mode","1080p; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 720p","12"
"Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","mode","10; 11; 12; 13; 14; 15; 3; 4; 5; 6; 7; 8; 9; kling-3.0/video; pro; std","16"
"Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","output_format","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; jpeg; png","12"
"Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","output_format","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; jpeg; png","12"
"Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","output_format","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; jpeg; png","12"
"Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","resolution","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p","13"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","resolution","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p","13"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","resolution","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p","13"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","resolution","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p","13"
"Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","resolution","1080p; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 720p","12"
"Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","resolution","1080p; 200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p","13"
"Extend AI Video","https://docs.kie.ai/runway-api/extend-ai-video.md","resolution","200; 401; 404; 422; 429; 451; 455; 500","8"
"Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","resolution","1K; 200; 2K; 401; 402; 404; 422; 429; 455; 500; 501; 505","12"
"Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","resolution","1K; 200; 2K; 401; 402; 404; 422; 429; 455; 500; 501; 505","12"
"Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","resolution","1K; 200; 2K; 401; 402; 404; 422; 429; 455; 500; 501; 505","12"
"Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","resolution","1K; 200; 2K; 401; 402; 404; 422; 429; 455; 500; 501; 505","12"
"Generate AI Video","https://docs.kie.ai/runway-api/generate-ai-video.md","resolution","1:1; 16:9; 3:4; 4:3; 9:16","5"
"Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","resolution","200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p; value: 480p","13"
"Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","resolution","200; 401; 402; 404; 422; 429; 455; 480p; 500; 501; 505; 720p; value: 480p","13"
"Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","resolution","10; 1080P; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; 768P","14"
"Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","resolution","10; 1080P; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; 768P","14"
"Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","resolution","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 512P; 6; 768P","14"
"Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","resolution","10; 6","2"
"Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","resolution","landscape_16_9; landscape_4_3; portrait_16_9; portrait_4_3; square; square_hd","6"
"Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","resolution","landscape_16_9; landscape_4_3; portrait_16_9; portrait_4_3; square; square_hd","6"
"Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","resolution","480p; 720p","2"
"Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","resolution","1080p; 720p","2"
"Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","resolution","10; 11; 12; 13; 14; 15; 3; 4; 5; 6; 7; 8; 9; pro; std","15"
"Recraft - Crisp Upscale","https://docs.kie.ai/market/recraft/crisp-upscale.md","resolution","recraft/crisp-upscale","1"
"Seedream4.0 - Edit","https://docs.kie.ai/market/seedream/seedream-v4-edit.md","resolution","1K; 2K; 4K","3"
"Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","resolution","1K; 2K; 4K","3"
"Topaz - Image Upscale","https://docs.kie.ai/market/topaz/image-upscale.md","resolution","topaz/image-upscale","1"
"Topaz - Video Upscale","https://docs.kie.ai/market/topaz/video-upscale.md","resolution","topaz/video-upscale","1"
"Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","resolution","480p; 580p; 720p","3"
"Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","resolution","1080p; 720p","2"
"Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","resolution","1080p; 720p","2"
"Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","resolution","480p; 580p; 720p","3"
"Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","resolution","480p; 580p; 720p","3"
"Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","resolution","480p; 720p","2"
"Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","resolution","480p; 720p","2"
"Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","resolution","1080p; 720p","2"
"Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","resolution","1080p; 720p; wan/2-6-text-to-video","3"
"Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","resolution","1080p; 720p","2"
