"field","title","url","allowed_values","value_count"
"model","Grok Imagine - image to image","https://docs.kie.ai/market/grok-imagine/image-to-image.md","grok-imagine/image-to-image","1"
"model","Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","grok-imagine/text-to-image","1"
"model","Grok Imagine - Video Upscale","https://docs.kie.ai/market/grok-imagine/upscale.md","grok-imagine/upscale","1"
"model","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","grok-imagine/image-to-video","1"
"model","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","grok-imagine/text-to-video","1"
"model","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","hailuo/2-3-image-to-video-pro","1"
"model","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","hailuo/2-3-image-to-video-standard","1"
"model","Hailuo Pro Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-pro.md","hailuo/02-image-to-video-pro","1"
"model","Hailuo Pro Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-pro.md","hailuo/02-text-to-video-pro","1"
"model","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","hailuo/02-image-to-video-standard","1"
"model","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","hailuo/02-text-to-video-standard","1"
"model","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","balanced; ideogram/character; quality; turbo","4"
"model","Ideogram - Character Edit","https://docs.kie.ai/market/ideogram/character-edit.md","balanced; ideogram/character-edit; quality; turbo","4"
"model","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","balanced; ideogram/character-remix; quality; turbo","4"
"model","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","ideogram/v3-reframe; square","2"
"model","Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","infinitalk/from-audio","1"
"model","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","kling/v2-1-master-image-to-video","1"
"model","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","kling/v2-5-turbo-text-to-video-pro","1"
"model","Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","kling-2.6/image-to-video","1"
"model","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","image; kling-2.6/motion-control; video","3"
"model","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","kling-2.6/text-to-video","1"
"model","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling-3.0/video","1"
"model","Kling AI Avatar Pro","https://docs.kie.ai/market/kling/ai-avatar-pro.md","kling/ai-avatar-pro","1"
"model","Kling AI Avatar Standard","https://docs.kie.ai/market/kling/ai-avatar-standard.md","kling/ai-avatar-standard","1"
"model","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","kling/v2-1-master-image-to-video","1"
"model","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","kling/v2-1-master-text-to-video","1"
"model","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","kling/v2-1-pro","1"
"model","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","kling/v2-1-standard","1"
"model","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","none; qwen/image-edit; regular","3"
"model","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","jpeg; png; qwen/image-to-image","3"
"model","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","jpeg; png; qwen/text-to-image; square","4"
"model","Recraft - Crisp Upscale","https://docs.kie.ai/market/recraft/crisp-upscale.md","recraft/crisp-upscale","1"
"model","Recraft - Remove Background","https://docs.kie.ai/market/recraft/remove-background.md","recraft/remove-background","1"
"model","Seedream3.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream.md","bytedance/seedream; square","2"
"model","Seedream4.0 - Edit","https://docs.kie.ai/market/seedream/seedream-v4-edit.md","bytedance/seedream-v4-edit; square","2"
"model","Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","bytedance/seedream-v4-text-to-image; square","2"
"model","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4.5-edit","1"
"model","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4.5-text-to-image","1"
"model","Sora2 - Characters","https://docs.kie.ai/market/sora2/sora-2-characters.md","sora-2-characters","1"
"model","Sora2 - Characters Pro","https://docs.kie.ai/market/sora2/sora-2-characters-pro.md","sora-2-characters-pro","1"
"model","Sora2 - Image to Video","https://docs.kie.ai/market/sora2/sora-2-image-to-video.md","landscape; portrait; sora-2-image-to-video","3"
"model","Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","landscape; portrait; sora-2-pro-image-to-video","3"
"model","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","sora-2-pro-storyboard","1"
"model","Sora2 - Pro Text to Video","https://docs.kie.ai/market/sora2/sora-2-pro-text-to-video.md","landscape; portrait; sora-2-pro-text-to-video","3"
"model","Sora2 - Text to Video","https://docs.kie.ai/market/sora2/sora-2-text-to-video.md","landscape; portrait; sora-2-text-to-video","3"
"model","Sora2 - Watermark Remover","https://docs.kie.ai/market/sora2/sora-watermark-remover.md","sora-watermark-remover","1"
"model","Topaz - Image Upscale","https://docs.kie.ai/market/topaz/image-upscale.md","topaz/image-upscale","1"
"model","Topaz - Video Upscale","https://docs.kie.ai/market/topaz/video-upscale.md","topaz/video-upscale","1"
"model","Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","wan/2-2-a14b-speech-to-video-turbo","1"
"model","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","wan/2-6-flash-image-to-video","1"
"model","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","wan/2-6-flash-video-to-video","1"
"model","Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","wan/2-2-animate-move","1"
"model","Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","wan/2-2-animate-replace","1"
"model","Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","none; regular; wan/2-2-a14b-image-to-video-turbo","3"
"model","Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","none; regular; wan/2-2-a14b-text-to-video-turbo","3"
"model","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","wan/2-6-image-to-video","1"
"model","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","wan/2-6-text-to-video","1"
"model","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","wan/2-6-video-to-video","1"
"model","Z-Image","https://docs.kie.ai/market/z-image/z-image.md","z-image","1"
"quality","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","high","1"
"quality","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","high","1"
"quality","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","quality; turbo","2"
"quality","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","high","1"
"quality","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","high","1"
"quality","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","high","1"
"quality","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","basic; high","2"
"quality","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","basic; high","2"
"quality","Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","high; standard","2"
"quality","Sora2 - Pro Text to Video","https://docs.kie.ai/market/sora2/sora-2-pro-text-to-video.md","high; standard","2"
