"generation_mode","input_format","output_format","has_audio","model_count"
"image-to-video","image","video","false","16"
"","","video","false","13"
"text-to-video","text","video","false","12"
"image-to-image","image","image","","12"
"video-to-video","video","video","false","9"
"text-to-image","text","image","","9"
"","","image","","6"
"chat","text","text","","6"
"","","audio","true","4"
"","","video","true","2"
"image-to-video","image","audio","true","1"
